alphaddress,points
1Bp4JjbAmFc16fhfx8MAAY4iitvymm8CK2K997nABurhQ,2
1BpP751FUFAiwUoZSU54Jb6oV72NkEjdyJ69FEtQdf37h,2
1C5DwVU3oK2sTay38HPUpCC97UgZ57sZpheHDeaMiDorQ,2
1C62Ats2NK2oBbV2Dj5Lg5dPwRRNAngd5aD1sqGEFWoyx,2
1CAFFCqdZgQczRcr1YtD2WTmnsfXU8oREciMP5HAhD9kV,2
1CNeQusQu3vNbb3P2zsqUxqS5iDzFdErpUWzXZnNKHNAo,2
1CQZpdjPHNZn26ewxA51T9k1axkHgznDZUbTHwbhxmBGR,2
1Cgbmx1xE8nuV79cMsMEgTT2T6mbmeMgR8FfGXXbTxKU7,2
1CpSYZfBCqzMmcwsh1XPE4396DSCv7C2WVECvydCWoWVY,2
1CsUjhg2HjPS8dQmnJxspwSpuo6tE84hbEkAA3znh6GfH,2
1CuNUd3aCDAp1ceJdBbnnG3qkXn7ftkXHWc3eYRg7E5ix,2
1D1Nfx5ZN2szXPHR8ngnadMvAxzkmwch3kqdj11yMpkYe,2
1D5v8uAcj1A1QnSh7u7dt1A7jNKgb4NojEJouBKvJydYn,2
1DMz5iR32nUmdxakQqxRhYf56UyM6LH4yEBgo2RhDQT6q,2
1DSc2gWcbryonVj2NKTS1RNruqUd2Z5ssfERV1PLbSG35,2
1DW4RitPJ2qSMgU8Yb7MASVvvXa6exu6w12uUVxf1w82o,2
1DXgHyRaK1UAR9i4CkZ3XsukFqn78oWj3cFzsVuYxNsky,2
1Dd5VdYiE8KcMMrmG45hLbAw1eeCCUnPYhgxViNA6i1Nc,2
1DhGVzEtoLyxjRwUjmV118fD6SLHMnxQ338X4SvjKHjrn,2
1DkrHsyKeg39XTQpSNucARLURQbJwkoCBhmpi9RipXkkk,2
1DnaBsL2T2Jo61XXJ8at514RGsQoPo8irJTUTVmGUTbwn,2
1DzPiDLNRUKmYg1M7p33vSKsdQHZndKD8w6PyzuNpi4TY,2
1E5AUCtibz4XQtTdXju3oihyz3nCA5QFa5nG2ZewFgiv5,2
1E993mqhRRFiy3wXgQPcRzYjPs1P3he86qAG8QzaYaRWa,2
1EADddHUXR13dT4fQpWgYgsyzJUZLL1RAZHZfoL3JtwVW,2
1EB9fFj9w3wvHd8kMAFQTLZAxXNPRNef3tqKE4csvZGyv,2
1EBPBQJMtqMTedmwNvwnVT2bD9HnMd4GZc5qL2SDWHZWk,2
1EEKYTQfKfUMSUCW3a6CyAyi56ThhwPCf4BZXkR9aXMHH,2
1EN5FyEUGEYvM4hrSr2Jgg8iHfA13fH3P489oDViqjSag,2
1ERzBPucqyxTWu4LBrjWRv8mnGQKPXE2wjweR31NKhTco,2
1ESukYYF126fwSQYeGCDb91h3KCruG4LW1pSoW1ZhnUCM,2
1EYfTav8yB8eM6koL4aP87KNpyoN1bBHzmKCLEyRUsj2m,2
1EZ5oxYvfg4gkT2RmwqU3DM4NDyZZBkJNwF9d1WmvntKY,2
1EgqkPqPbAfrgGwvtyJbYHPPtfXDvt8rP1AFc2ZJriXCZ,2
1Eh7wvefTvrEYyXsqjgPqgxphLWHV4RTjHhu7NHs78L7h,2
1EnbqEsYQSRsbZWBL5JYS9ZiEPCoQwMLiJhkdeQruySZv,2
1Epk5Kt7XaFQRnUJnRgq4G7HzztcbZ5SQdCrjCxq8DoF3,2
1Esj9ihjBNA1Np11MfN3LkUNCTd46QLBdiCADQs1ZMyTT,2
1EwrCFNCFpehzyjavFPWgcHLZXfrBYW7gMMWx7GhapeJM,2
1EyGjeyCVxnRfeMzxxytP5g632uEN4Z7XZNdaBUfUyHjK,2
1EzpPxS8PsSdbsQJNTZZT9Sp7ma5hvBYXM6tMACMjh6CJ,2
1Ezqt8eNMdiv9KM9bWm7pcEXupaT5rpVxpXwcvRNdButt,2
1F41UbBDosKxxHvrDEn1SbiukYi4pMmhsDkrXgiqKbcFt,2
1F5dFLrrokC9iKQF13vf7CToomTcKeJiWWo2R7BCBarRS,2
1F5tLPqAn4FRxepjP5qc1wbRx62K16yD5W5nyC6oF7ts4,2
1FLifvY6aNmUGJbL8Dsj1X6h3UD2DsVrhh4hWAW1t3uRm,2
1FNBP1vMiqZzfkqRhspsv6A6aZFR4m3m9SsS9gWeBgs6G,2
1FRoT48osKqRMLdkAhoMnShzZ4qf5wwyx5sS4sXoqU5iX,2
1Fn8cycP8UEeAfRFkLuiu8qbZkGvMFMuz5LER9DxKysaH,2
1Fr9YGjQSeZBFbAL29vummxDSiRZ2ceZ2brZFg263Rrjp,2
1Fyqm7HJaS9ACFVzgxCro13oRHuL9XwD8bMusNH4FqYwn,2
1Fz7Q6xtJC85hcV58DJGv8iZ9HvHJxDyqMxJhEbgA5rQj,2
1G2DJSYj4QxetGLSBbSj6ugim96paTd8DhmxdudvTLuw7,2
1G5srHfQHaHWPvnRi1WqwLJmYSpfiFoYbZLAYwgM3bmvH,2
1GS8ho2QMof6GseAKsLrD5C7MyLxtzkUbLQnsqC9711eB,2
1Gez2ATEbyfi6ZEFBxUZ8z8waQFFgVKkjWbeAL8SEyd8b,2
1GzZQJBuQRC3HUo9BQsGYkbvNXUhUdj4NX97yTuqY53dH,2
1HEQVqBKJzk9jvxBqDHmJmihQTab52GFZBKzuTGEVFmC2,2
1HL4RYY2Rz4hE3H8fa482AqnXnxTkMHmGWQE6PhWcySgu,2
1HQur5MTDv9uA4kQCU5Rh7zfuK2GnvMLGwextfSK6JrBL,2
1HXMg66cvu8oWkxuSwgoRrcm87WcyAVea2tKj2bLB49FX,2
1HsBK4C6uJy73bDQ41gLw2PfBoaaMGvyuWhikk8k74qiS,2
1Hw3JdBZE7mc4fqgTN39y7qypHYQbrXCy7vCdkCFESEPW,2
1J7dWEhUCihFEBt9BLJZ8WPU4knUuTCehmSRRiyX77Xnu,2
1J9wVM9po2uFjXjmstQKBriC2aNyga5Ke4htC8wi3az5V,2
1JCa2TsCANpq15Y4rv9dx6k2rHPPVqrrrcTaCEQTdr7w5,2
1JHPBhMS91FxqK9en4fWLoRYcjorujsA1gU5rUrv2LmZ,2
1Shf6Z2Hma1ZhzpR9X5e5h7FHHdtJF6gXpRGHrsg8kSH,2
1Sife3j3r1hc9Gc9JuE4V8fNgbRikTurEpWM4zXeHwat,2
1TFvF9iqcTsH3nF1X2xAqKHpQot5mdXLUar6KDttmFQr,2
1YvtiSv33ogutEPb6iMVGxZsSEmi7sbSqdRJfxvm6eUW,2
1f1Gc6q9gejzMHWyExfF6KfjtPx9YTmFvjQ2wtaZu2aB,2
1g6172iisUvsmurW6S4UtUMYkhULTS13DqYvcQZev7tw,2
1hXBwXcKi1VEpkRT3pdD6CHyTyKr59keLUxrUvk9fz8K,2
1pMUz1rVgi17daWpgp4ACsKpVB16Y8CxqawC7CJGCBTp,2
1vhthwsrj4UpJ25DVqrPJYhSyFPzyoo1t9wgxPvUVY15,2
1BzsBup8QuQ1TooWAwESgAHBa6qmStLwTvPi2bi6D9e7n,2
18CZ8E1NVP4fJwKXAHxhKNnH8nw2NqbLT9dzxu8UM4yA8,2
